,ID,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
0,20223,2022,3,Buenos Aires,4715469,6199,4721668
1,20223,2022,3,Capital Federal,1545534,2145,1547679
2,20223,2022,3,Catamarca,70292,1,70293
3,20223,2022,3,Chaco,144141,5,144146
4,20223,2022,3,Chubut,164874,904,165778
5,20223,2022,3,Córdoba,1038600,68,1038668
6,20223,2022,3,Corrientes,144842,4,144846
7,20223,2022,3,Entre Ríos,268937,22,268959
8,20223,2022,3,Formosa,68537,1,68538
9,20223,2022,3,Jujuy,118823,0,118823
10,20223,2022,3,La Pampa,115921,171,116092
11,20223,2022,3,La Rioja,86860,4,86864
12,20223,2022,3,Mendoza,288746,777,289523
13,20223,2022,3,Misiones,182157,0,182157
14,20223,2022,3,Neuquén,162693,468,163161
15,20223,2022,3,Río Negro,160010,548,160558
16,20223,2022,3,Salta,204536,5,204541
17,20223,2022,3,San Juan,103118,281,103399
18,20223,2022,3,San Luis,121888,182,122070
19,20223,2022,3,Santa Cruz,49312,198,49510
20,20223,2022,3,Santa Fe,887700,110,887810
21,20223,2022,3,Santiago Del Estero,119030,2,119032
22,20223,2022,3,Tierra Del Fuego,53584,312,53896
23,20223,2022,3,Tucumán,263087,30,263117
24,20222,2022,2,Buenos Aires,4660984,6199,4667183
25,20222,2022,2,Capital Federal,1534626,2145,1536771
26,20222,2022,2,Catamarca,67007,1,67008
27,20222,2022,2,Chaco,143559,5,143564
28,20222,2022,2,Chubut,161901,904,162805
29,20222,2022,2,Córdoba,1026367,68,1026435
30,20222,2022,2,Corrientes,144993,4,144997
31,20222,2022,2,Entre Ríos,269330,22,269352
32,20222,2022,2,Formosa,67881,0,67881
33,20222,2022,2,Jujuy,115314,0,115314
34,20222,2022,2,La Pampa,111356,171,111527
35,20222,2022,2,La Rioja,86026,4,86030
36,20222,2022,2,Mendoza,278785,777,279562
37,20222,2022,2,Misiones,178813,0,178813
38,20222,2022,2,Neuquén,161500,468,161968
39,20222,2022,2,Río Negro,159216,548,159764
40,20222,2022,2,Salta,203172,5,203177
41,20222,2022,2,San Juan,100126,281,100407
42,20222,2022,2,San Luis,121559,182,121741
43,20222,2022,2,Santa Cruz,48987,198,49185
44,20222,2022,2,Santa Fe,878749,110,878859
45,20222,2022,2,Santiago Del Estero,118042,2,118044
46,20222,2022,2,Tierra Del Fuego,53458,312,53770
47,20222,2022,2,Tucumán,254497,30,254527
48,20221,2022,1,Buenos Aires,4549131,6293,4555424
49,20221,2022,1,Capital Federal,1415378,2163,1417541
50,20221,2022,1,Catamarca,62377,1,62378
51,20221,2022,1,Chaco,144114,5,144119
52,20221,2022,1,Chubut,170701,927,171628
53,20221,2022,1,Córdoba,1003729,74,1003803
54,20221,2022,1,Corrientes,142574,4,142578
55,20221,2022,1,Entre Ríos,267904,22,267926
56,20221,2022,1,Formosa,54548,0,54548
57,20221,2022,1,Jujuy,116509,0,116509
58,20221,2022,1,La Pampa,109560,172,109732
59,20221,2022,1,La Rioja,84299,4,84303
60,20221,2022,1,Mendoza,274399,786,275185
61,20221,2022,1,Misiones,171508,0,171508
