,Año,Trimestre,Provincia,Accesos por cada 100 hogares,ID
0,2022,3,Buenos Aires,78.11,20223
1,2022,3,Capital Federal,122.28,20223
2,2022,3,Catamarca,65.33,20223
3,2022,3,Chaco,43.86,20223
4,2022,3,Chubut,84.38,20223
5,2022,3,Córdoba,88.31,20223
6,2022,3,Corrientes,48.21,20223
7,2022,3,Entre Ríos,63.67,20223
8,2022,3,Formosa,43.76,20223
9,2022,3,Jujuy,58.91,20223
10,2022,3,La Pampa,96.59,20223
11,2022,3,La Rioja,80.66,20223
12,2022,3,Mendoza,51.03,20223
13,2022,3,Misiones,51.82,20223
14,2022,3,Neuquén,80.37,20223
15,2022,3,Río Negro,67.98,20223
16,2022,3,Salta,57.76,20223
17,2022,3,San Juan,50.8,20223
18,2022,3,San Luis,81.74,20223
19,2022,3,Santa Cruz,43.19,20223
20,2022,3,Santa Fe,78.55,20223
21,2022,3,Santiago Del Estero,47.98,20223
22,2022,3,Tierra Del Fuego,99.51,20223
23,2022,3,Tucumán,61.14,20223
24,2022,2,Buenos Aires,77.58,20222
25,2022,2,Capital Federal,121.31,20222
26,2022,2,Catamarca,62.4,20222
27,2022,2,Chaco,43.79,20222
28,2022,2,Chubut,83.19,20222
29,2022,2,Córdoba,87.48,20222
30,2022,2,Corrientes,48.35,20222
31,2022,2,Entre Ríos,63.9,20222
32,2022,2,Formosa,43.42,20222
33,2022,2,Jujuy,57.32,20222
34,2022,2,La Pampa,92.98,20222
35,2022,2,La Rioja,80.14,20222
36,2022,2,Mendoza,49.39,20222
37,2022,2,Misiones,51.0,20222
38,2022,2,Neuquén,80.02,20222
39,2022,2,Río Negro,67.85,20222
40,2022,2,Salta,57.54,20222
41,2022,2,San Juan,49.46,20222
42,2022,2,San Luis,81.76,20222
43,2022,2,Santa Cruz,43.15,20222
44,2022,2,Santa Fe,77.9,20222
45,2022,2,Santiago Del Estero,47.7,20222
46,2022,2,Tierra Del Fuego,99.86,20222
47,2022,2,Tucumán,59.31,20222
48,2022,1,Buenos Aires,76.08,20221
49,2022,1,Capital Federal,111.8,20221
50,2022,1,Catamarca,58.21,20221
51,2022,1,Chaco,44.06,20221
52,2022,1,Chubut,88.05,20221
53,2022,1,Córdoba,85.76,20221
54,2022,1,Corrientes,47.64,20221
55,2022,1,Entre Ríos,63.7,20221
56,2022,1,Formosa,34.96,20221
57,2022,1,Jujuy,58.06,20221
58,2022,1,La Pampa,91.66,20221
59,2022,1,La Rioja,78.77,20221
60,2022,1,Mendoza,48.74,20221
61,2022,1,Misiones,49.04,20221
62,2022,1,Neuquén,74.17,20221
63,2022,1,Río Negro,67.04,20221
64,2022,1,Salta,56.11,20221
65,2022,1,San Juan,43.55,20221
66,2022,1,San Luis,80.72,20221
67,2022,1,Santa Cruz,43.34,20221
68,2022,1,Santa Fe,77.3,20221
69,2022,1,Santiago Del Estero,47.17,20221
70,2022,1,Tierra Del Fuego,98.29,20221
71,2022,1,Tucumán,57.39,20221
72,2021,4,Buenos Aires,75.66,20214
73,2021,4,Capital Federal,111.27,20214
74,2021,4,Catamarca,55.25,20214
75,2021,4,Chaco,44.05,20214
76,2021,4,Chubut,82.57,20214
77,2021,4,Córdoba,84.51,20214
78,2021,4,Corrientes,45.51,20214
79,2021,4,Entre Ríos,63.16,20214
80,2021,4,Formosa,34.45,20214
81,2021,4,Jujuy,56.92,20214
82,2021,4,La Pampa,89.57,20214
83,2021,4,La Rioja,77.92,20214
84,2021,4,Mendoza,47.51,20214
85,2021,4,Misiones,49.06,20214
86,2021,4,Neuquén,73.3,20214
87,2021,4,Río Negro,65.69,20214
88,2021,4,Salta,56.81,20214
89,2021,4,San Juan,39.59,20214
90,2021,4,San Luis,80.3,20214
91,2021,4,Santa Cruz,43.05,20214
92,2021,4,Santa Fe,77.09,20214
93,2021,4,Santiago Del Estero,47.05,20214
94,2021,4,Tierra Del Fuego,98.4,20214
95,2021,4,Tucumán,55.93,20214
96,2021,3,Buenos Aires,71.68,20213
97,2021,3,Capital Federal,111.27,20213
98,2021,3,Catamarca,52.71,20213
99,2021,3,Chaco,42.96,20213
100,2021,3,Chubut,80.71,20213
101,2021,3,Córdoba,81.28,20213
102,2021,3,Corrientes,44.9,20213
103,2021,3,Entre Ríos,62.18,20213
104,2021,3,Formosa,33.96,20213
105,2021,3,Jujuy,55.69,20213
106,2021,3,La Pampa,84.28,20213
107,2021,3,La Rioja,77.26,20213
108,2021,3,Mendoza,45.55,20213
109,2021,3,Misiones,45.57,20213
110,2021,3,Neuquén,69.71,20213
111,2021,3,Río Negro,61.97,20213
112,2021,3,Salta,55.96,20213
113,2021,3,San Juan,39.46,20213
114,2021,3,San Luis,79.87,20213
115,2021,3,Santa Cruz,43.75,20213
116,2021,3,Santa Fe,75.02,20213
117,2021,3,Santiago Del Estero,47.0,20213
118,2021,3,Tierra Del Fuego,94.95,20213
119,2021,3,Tucumán,54.64,20213
120,2021,2,Buenos Aires,70.0,20212
121,2021,2,Capital Federal,110.14,20212
122,2021,2,Catamarca,52.34,20212
123,2021,2,Chaco,43.33,20212
124,2021,2,Chubut,72.29,20212
125,2021,2,Córdoba,80.12,20212
126,2021,2,Corrientes,43.54,20212
127,2021,2,Entre Ríos,61.66,20212
128,2021,2,Formosa,33.23,20212
129,2021,2,Jujuy,56.18,20212
130,2021,2,La Pampa,82.08,20212
131,2021,2,La Rioja,76.98,20212
132,2021,2,Mendoza,40.97,20212
133,2021,2,Misiones,45.01,20212
134,2021,2,Neuquén,69.14,20212
135,2021,2,Río Negro,61.94,20212
136,2021,2,Salta,54.93,20212
137,2021,2,San Juan,39.28,20212
138,2021,2,San Luis,83.48,20212
139,2021,2,Santa Cruz,44.01,20212
140,2021,2,Santa Fe,75.07,20212
141,2021,2,Santiago Del Estero,46.56,20212
142,2021,2,Tierra Del Fuego,67.89,20212
143,2021,2,Tucumán,54.93,20212
144,2021,1,Buenos Aires,69.11,20211
145,2021,1,Capital Federal,108.42,20211
